Entity,Year,"Share of fish stocks within biologically sustainable levels (FAO, 2020)",Share of fish stocks that are overexploited,Code,Capture fisheries production (metric tons),"Fish, Seafood- Food supply quantity (kg/capita/yr) (FAO, 2020)",Industrial (large-scale commercial),Commodity Balances - Livestock and Fish Primary Equivalent - Freshwater Fish - 2761 - Production - 5510 - tonnes
Equatorial Guinea,2015,,,GNQ,6420.0,,,
Eritrea,2015,,,ERI,4300.0,,,
Estonia,2015,,,EST,73616.0,12.37,,
Eswatini,2015,,,SWZ,65.0,4.16,,
Ethiopia,2015,,,ETH,45525.0,0.45,,
Euro area,2015,,,,3304453.99356079,,,
Europe & Central Asia,2015,,,,15315699.3092346,,,
Europe & Central Asia (IDA & IBRD),2015,,,,5443396.31567383,,,
Europe & Central Asia (excluding high income),2015,,,,5164021.31567383,,,
European Union,2015,,,,4692707.99356079,,,
Faeroe Islands,2015,,,FRO,585564.0,,,
Fiji,2015,,,FJI,41234.0,36.57,,
Finland,2015,,,FIN,183025.0,34.84,,
Fragile and conflict affected situations,2015,,,,5278238.453125,,,
France,2015,,,FRA,507037.09375,33.52,,
French Polynesia,2015,,,PYF,14180.0,48.1,,
Gabon,2015,,,GAB,33000.0,34.31,,
Gambia,2015,,,GMB,55968.0,26.66,,
Georgia,2015,,,GEO,22520.0,6.45,,
Germany,2015,,,DEU,261744.0,12.95,,
Ghana,2015,,,GHA,347621.0,24.71,,
Gibraltar,2015,,,GIB,1.0,,,
Greece,2015,,,GRC,65426.6015625,17.94,,
Greenland,2015,,,GRL,395248.0,,,
Grenada,2015,,,GRD,2707.0,27.27,,
Guam,2015,,,GUM,1312.0,,,
Guatemala,2015,,,GTM,20497.0,2.69,,
Guinea,2015,,,GIN,193142.0,10.28,,
Guinea-Bissau,2015,,,GNB,6700.0,1.37,,
Guyana,2015,,,GUY,57921.0,30.79,,
Haiti,2015,,,HTI,16510.0,5.74,,
Heavily indebted poor countries (HIPC),2015,,,,4448796.25,,,
High income,2015,,,,26384238.2523499,,,
Honduras,2015,,,HND,10759.0,3.26,,
Hong Kong,2015,,,HKG,145193.0,73.57,,
Hungary,2015,,,HUN,5926.0,5.88,,
IBRD only,2015,,,,58922161.9406738,,,
IDA & IBRD total,2015,,,,70361761.6437988,,,
IDA blend,2015,,,,2225722.46875,,,
IDA only,2015,,,,9213877.234375,,,
IDA total,2015,,,,11439599.703125,,,
Iceland,2015,,,ISL,1336609.0,91.85,,
India,2015,,,IND,4862038.0,6.42,,
Indonesia,2015,,,IDN,6760874.0,38.28,,
Iran,2015,,,IRN,631122.0,10.84,,
Iraq,2015,,,IRQ,27296.0,2.45,,
Ireland,2015,,,IRL,264370.0,21.17,,
Isle of Man,2015,,,IMN,7781.0,,,
Israel,2015,,,ISR,2124.0,23.39,,
Italy,2015,,,ITA,198768.90625,29.42,,
Jamaica,2015,,,JAM,17025.0,21.55,,
Japan,2015,,,JPN,3501171.75,47.32,,
Jordan,2015,,,JOR,873.0,5.8,,
Kazakhstan,2015,,,KAZ,40461.0,4.63,,
Kenya,2015,,,KEN,171871.0,3.9,,
Kiribati,2015,,,KIR,146036.0,76.12,,
Kuwait,2015,,,KWT,4287.0,12.14,,
Kyrgyzstan,2015,,,KGZ,31.0,1.84,,
Laos,2015,,,LAO,62635.0,23.73,,
Late-demographic dividend,2015,,,,35503276.2150879,,,
Latin America & Caribbean,2015,,,,12419570.2900391,,,
Latin America & Caribbean (IDA & IBRD),2015,,,,12345121.0,,,
Latin America & Caribbean (excluding high income),2015,,,,9806976.0,,,
Latvia,2015,,,LVA,81340.0,24.28,,
Least developed countries: UN classification,2015,,,,8851303.234375,,,
Lebanon,2015,,,LBN,3638.0,8.03,,
Lesotho,2015,,,LSO,52.0,1.44,,
Liberia,2015,,,LBR,14079.0,6.64,,
Libya,2015,,,LBY,26002.0,,,
Liechtenstein,2015,,,LIE,0.0,,,
Lithuania,2015,,,LTU,85144.0,32.11,,
Low & middle income,2015,,,,67664244.6437988,,,
Low income,2015,,,,2551734.0,,,
Lower middle income,2015,,,,29328427.34375,,,
Luxembourg,2015,,,LUX,0.0,35.16,,
Macao,2015,,,MAC,1500.0,62.32,,
Madagascar,2015,,,MDG,114905.0,4.38,,
Malawi,2015,,,MWI,147889.0,9.11,,
Malaysia,2015,,,MYS,1499610.0,57.52,,
Maldives,2015,,,MDV,127381.0,136.82,,
Mali,2015,,,MLI,92480.0,7.41,,
Malta,2015,,,MLT,2563.0,32.22,,
Marshall Islands,2015,,,MHL,89742.0,,,
Mauritania,2015,,,MRT,403776.0,8.56,,
Mauritius,2015,,,MUS,15796.0,23.16,,
Mexico,2015,,,MEX,1480859.0,14.89,,
Micronesia (country),2015,,,FSM,71707.0,,,
Middle East & North Africa,2015,,,,3253716.625,,,
Middle East & North Africa (IDA & IBRD),2015,,,,2813160.625,,,
Middle East & North Africa (excluding high income),2015,,,,2816387.625,,,
Middle income,2015,,,,65112510.6437988,,,
Moldova,2015,,,MDA,50.0,10.01,,
Monaco,2015,,,MCO,1.0,,,
Mongolia,2015,,,MNG,63.0,0.48,,
Montenegro,2015,,,MNE,1486.80004882813,12.03,,
Morocco,2015,,,MAR,1384017.625,20.2,,
Mozambique,2015,,,MOZ,297878.0,12.04,,
Myanmar,2015,,,MMR,1970470.0,46.78,,
Namibia,2015,,,NAM,546920.0,12.0,,
Nauru,2015,,,NRU,530.0,,,
Nepal,2015,,,NPL,21500.0,2.89,,
Netherlands,2015,,,NLD,384476.0,21.87,,
New Caledonia,2015,,,NCL,4004.0,24.33,,
New Zealand,2015,,,NZL,433774.875,24.18,,
Nicaragua,2015,,,NIC,41534.0,5.78,,
Niger,2015,,,NER,27000.0,1.77,,
Nigeria,2015,,,NGA,710331.0,11.23,,
North America,2015,,,,6371987.0,,,
North Korea,2015,,,PRK,220000.0,11.26,,
North Macedonia,2015,,,MKD,350.0,6.44,,
Northern Mariana Islands,2015,,,MNP,1082.0,,,
Norway,2015,,,NOR,2444245.0,50.03,,
OECD members,2015,,,,25914694.3373108,,,
Oman,2015,,,OMN,257022.0,27.98,,
Other small states,2015,,,,2418220.80004883,,,
Pacific island small states,2015,,,,521918.984375,,,
Pakistan,2015,,,PAK,509479.0,1.88,,
Palau,2015,,,PLW,848.0,,,
Palestine,2015,,,PSE,3227.0,,,
Panama,2015,,,PAN,145801.0,13.58,,
Papua New Guinea,2015,,,PNG,273372.46875,,,
Paraguay,2015,,,PRY,19294.0,4.09,,
Peru,2015,,,PER,4843860.0,25.07,,
Philippines,2015,,,PHL,2164440.0,29.88,,
Poland,2015,,,POL,205428.0,10.67,,
Portugal,2015,,,PRT,190100.0,52.66,,
Post-demographic dividend,2015,,,,19677663.3529358,,,
Pre-demographic dividend,2015,,,,5264895.25,,,
Puerto Rico,2015,,,PRI,2148.0,,,
Qatar,2015,,,QAT,15203.0,,,
Romania,2015,,,ROU,9307.0,5.88,,
Russia,2015,,,RUS,4468629.0,20.12,,
Rwanda,2015,,,RWA,29334.0,7.15,,
Saint Kitts and Nevis,2015,,,KNA,100398.0,36.65,,
Saint Lucia,2015,,,LCA,2030.0,33.18,,
Saint Martin (French part),2015,,,MAF,90.0,,,
Saint Vincent and the Grenadines,2015,,,VCT,26167.0,18.26,,
Samoa,2015,,,WSM,8699.0,45.95,,
San Marino,2015,,,SMR,0.0,,,
Sao Tome and Principe,2015,,,STP,11441.0,29.39,,
Saudi Arabia,2015,,,SAU,68130.0,11.66,,
Senegal,2015,,,SEN,425444.0,17.06,,
Serbia,2015,,,SRB,3150.0,5.56,,
Seychelles,2015,,,SYC,104984.0,,,
Sierra Leone,2015,,,SLE,202100.0,27.61,,
Singapore,2015,,,SGP,3236.0,,,
Sint Maarten (Dutch part),2015,,,SXM,253.0,,,
Slovakia,2015,,,SVK,1971.0,9.45,,
Slovenia,2015,,,SVN,343.391998291016,11.21,,
Small states,2015,,,,3317720.07446289,,,
Solomon Islands,2015,,,SLB,72996.984375,35.11,,
Somalia,2015,,,SOM,30000.0,,,
South Africa,2015,,,ZAF,631950.0,6.55,,
South Asia,2015,,,,7648454.0,,,
South Asia (IDA & IBRD),2015,,,,7648454.0,,,
South Korea,2015,,,KOR,1658982.0,55.47,,
South Sudan,2015,,,SSD,37000.0,,,
Spain,2015,,,ESP,977970.0,43.59,,
Sri Lanka,2015,,,LKA,502062.0,30.72,,
Sub-Saharan Africa,2015,,,,7172001.25,,,
Sub-Saharan Africa (IDA & IBRD),2015,,,,7172001.25,,,
Sub-Saharan Africa (excluding high income),2015,,,,7067017.25,,,
Sudan,2015,,,SDN,33008.0,1.06,,
Suriname,2015,,,SUR,44705.0,17.03,,
Sweden,2015,,,SWE,211963.0,33.3,,
Switzerland,2015,,,CHE,2023.0,17.24,,
Syria,2015,,,SYR,4100.0,,,
Tajikistan,2015,,,TJK,1176.0,0.54,,
Tanzania,2015,,,TZA,376744.25,7.33,,
Thailand,2015,,,THA,1535634.0,23.08,,
Timor,2015,,,TLS,3200.0,6.02,,
Togo,2015,,,TGO,21497.0,12.88,,
Tonga,2015,,,TON,1789.0,,,
Trinidad and Tobago,2015,,,TTO,12141.0,21.76,,
Tunisia,2015,,,TUN,117263.0,12.92,,
Turkey,2015,,,TUR,431909.0,5.51,,
Turkmenistan,2015,,,TKM,15000.0,3.62,,
Turks and Caicos Islands,2015,,,TCA,1505.0,,,
Tuvalu,2015,,,TUV,6147.0,,,
Uganda,2015,,,UGA,396705.0,12.41,,
Ukraine,2015,,,UKR,120403.015625,9.27,,
United Arab Emirates,2015,,,ARE,73000.0,25.3,,
United Kingdom,2015,,,GBR,705623.0,19.99,,
United States,2015,,,USA,5472360.0,21.92,,
United States Virgin Islands,2015,,,VIR,378.0,,,
Upper middle income,2015,,,,35784083.3000488,,,
Uruguay,2015,,,URY,59723.0,8.61,,
Uzbekistan,2015,,,UZB,22956.0,2.28,,
Vanuatu,2015,,,VUT,82190.0,29.91,,
Venezuela,2015,,,VEN,256399.0,8.64,,
Vietnam,2015,,,VNM,2873233.0,35.47,,
Yemen,2015,,,YEM,176778.0,4.78,,
Zambia,2015,,,ZMB,127645.0,12.19,,
Zimbabwe,2015,,,ZWE,130399.0,3.82,,
Taiwan,2015,,,TWN,,31.79,,
Eastern Central Atlantic,2017,57.14285714,42.85714286,,,,,
Eastern Central Pacific,2017,86.66666667,13.33333333,,,,,
Eastern Indian Ocean,2017,68.62745098,31.37254902,,,,,
Mediterranean and Black Sea,2017,37.5,62.5,,,,,
Northeast Central Atlantic,2017,79.31034483,20.68965517,,,,,
Northeast Pacific,2017,83.87096774,16.12903226,,,,,
Northwest Central Atlantic,2017,56.25,43.75,,,,,
Northwest Pacific,2017,65.38461538,34.61538462,,,,,
Southeast Central Atlantic,2017,67.64705882,32.35294118,,,,,
Southeast Pacific,2017,45.45454545,54.54545455,,,,,
Southwest Atlantic,2017,46.66666667,53.33333333,,,,,
Southwest Pacific,2017,84.61538462,15.38461538,,,,,
Western Central Atlantic,2017,61.40350877,38.59649123,,,,,
Western Central Pacific,2017,77.55102041,22.44897959,,,,,
Western Indian Ocean,2017,68.29268293,31.70731707,,,,,
World,2017,65.8490566,34.1509434,,,,,
Afghanistan,2017,,,AFG,2000.0,0.25,,
Africa Eastern and Southern,2017,,,,4192887.0,,,
Africa Western and Central,2017,,,,4116060.0,,,
Albania,2017,,,ALB,8564.2001953125,5.36,,
Algeria,2017,,,DZA,104100.0,3.86,,
American Samoa,2017,,,ASM,4042.0,,,
Andorra,2017,,,AND,0.0,,,
Angola,2017,,,AGO,531575.0,20.22,,
Antigua and Barbuda,2017,,,ATG,3165.0,52.54,,
Arab World,2017,,,,3601263.75,,,
Argentina,2017,,,ARG,849268.0,7.29,,
Armenia,2017,,,ARM,364.0,5.83,,
Aruba,2017,,,ABW,149.0,,,
Australia,2017,,,AUS,229645.4375,25.87,,
Austria,2017,,,AUT,350.0,14.09,,
Azerbaijan,2017,,,AZE,950.0,3.2,,
Bahamas,2017,,,BHS,11479.9404296875,27.31,,
Bahrain,2017,,,BHR,15000.0,,,
Bangladesh,2017,,,BGD,1801084.0,24.31,,
Barbados,2017,,,BRB,1695.0,39.97,,
Belarus,2017,,,BLR,776.0,16.28,,
Belgium,2017,,,BEL,24649.0,23.01,,
Belize,2017,,,BLZ,121299.0,12.16,,
Benin,2017,,,BEN,48203.0,17.6,,
Bermuda,2017,,,BMU,384.0,,,
Bhutan,2017,,,BTN,16.0,,,
Bolivia,2017,,,BOL,60940.0,2.57,,
Bosnia and Herzegovina,2017,,,BIH,305.0,4.89,,
Botswana,2017,,,BWA,3238.0,3.8,,
Brazil,2017,,,BRA,729870.0,9.09,,
British Virgin Islands,2017,,,VGB,1192.0,,,
Brunei,2017,,,BRN,11864.0,,,
Bulgaria,2017,,,BGR,8559.0,7.05,,
Burkina Faso,2017,,,BFA,25208.0,7.06,,
Burundi,2017,,,BDI,18999.0,,,
Cambodia,2017,,,KHM,670645.0,42.69,,
Cameroon,2017,,,CMR,266737.0,18.06,,
Canada,2017,,,CAN,933012.75,22.45,,
Cape Verde,2017,,,CPV,18697.0,11.1,,
Caribbean Small States,2017,,,,400652.940429688,,,
Cayman Islands,2017,,,CYM,125.0,,,
Central African Republic,2017,,,CAF,29000.0,7.73,,
Central Europe and the Baltics,2017,,,,621943.726257324,,,
Chad,2017,,,TCD,107045.0,7.18,,
Chile,2017,,,CHL,2334421.0,11.78,,
China,2017,,,CHN,15576685.0,38.17,,
Colombia,2017,,,COL,401284.0,7.16,,
Comoros,2017,,,COM,16820.0,,,
Congo,2017,,,COG,94955.0,29.34,,
Costa Rica,2017,,,CRI,13673.0,18.46,,
Cote d'Ivoire,2017,,,CIV,91249.0,17.97,,
Croatia,2017,,,HRV,69945.65625,18.74,,
Cuba,2017,,,CUB,21548.0,5.69,,
Curacao,2017,,,CUW,32626.0,,,
Cyprus,2017,,,CYP,1756.0,24.94,,
Czechia,2017,,,CZE,3557.0,9.31,,
Democratic Republic of Congo,2017,,,COD,238000.0,,,
Denmark,2017,,,DNK,904572.0,22.7,,
Djibouti,2017,,,DJI,2022.0,3.69,,
Dominica,2017,,,DMA,784.0,28.06,,
Dominican Republic,2017,,,DOM,15715.0,9.56,,
Early-demographic dividend,2017,,,,32113903.8720703,,,
East Asia & Pacific,2017,,,,40718597.78125,,,
East Asia & Pacific (IDA & IBRD),2017,,,,34290566.375,,,
East Asia & Pacific (excluding high income),2017,,,,34501966.375,,,
Ecuador,2017,,,ECU,623300.0,7.77,,
Egypt,2017,,,EGY,370960.0,23.69,,
El Salvador,2017,,,SLV,51281.0,6.64,,
Equatorial Guinea,2017,,,GNQ,6380.0,,,
Eritrea,2017,,,ERI,4300.0,,,
Estonia,2017,,,EST,82821.0,14.72,,
Eswatini,2017,,,SWZ,65.0,3.88,,
Ethiopia,2017,,,ETH,56005.0,0.44,,
Euro area,2017,,,,3495374.60125732,,,
Europe & Central Asia,2017,,,,16107113.3607788,,,
Europe & Central Asia (IDA & IBRD),2017,,,,5882819.75952148,,,
Europe & Central Asia (excluding high income),2017,,,,5586478.10327148,,,
European Union,2017,,,,4957735.25750732,,,
Faeroe Islands,2017,,,FRO,703591.0,,,
Fiji,2017,,,FJI,47126.0,34.83,,
Finland,2017,,,FIN,191167.0,33.62,,
Fragile and conflict affected situations,2017,,,,5949473.0,,,
France,2017,,,FRA,545667.8125,34.37,,
French Polynesia,2017,,,PYF,13038.0,47.24,,
Gabon,2017,,,GAB,29000.0,30.94,,
Gambia,2017,,,GMB,60461.0,27.53,,
Georgia,2017,,,GEO,137423.203125,8.04,,
Germany,2017,,,DEU,248237.0,12.75,,
Ghana,2017,,,GHA,381091.0,25.51,,
Gibraltar,2017,,,GIB,1.0,,,
Greece,2017,,,GRC,78183.0,19.44,,
Greenland,2017,,,GRL,406750.0,,,
Grenada,2017,,,GRD,2550.0,27.1,,
Guam,2017,,,GUM,396.0,,,
Guatemala,2017,,,GTM,20519.0,2.58,,
Guinea,2017,,,GIN,333197.0,10.09,,
Guinea-Bissau,2017,,,GNB,6700.0,1.3,,
Guyana,2017,,,GUY,59960.0,30.48,,
Haiti,2017,,,HTI,16510.0,4.53,,
Heavily indebted poor countries (HIPC),2017,,,,5467141.0,,,
High income,2017,,,,26395563.354187,,,
Honduras,2017,,,HND,10600.0,3.15,,
Hong Kong,2017,,,HKG,127554.0,70.75,,
Hungary,2017,,,HUN,5607.0,6.3,,
IBRD only,2017,,,,58935921.3815918,,,
IDA & IBRD total,2017,,,,71952300.3815918,,,
IDA blend,2017,,,,2520754.0,,,
IDA only,2017,,,,10495625.0,,,
IDA total,2017,,,,13016379.0,,,
Iceland,2017,,,ISL,1198006.0,90.71,,
India,2017,,,IND,5553948.0,6.9,,
Indonesia,2017,,,IDN,6790477.5,44.67,,
Iran,2017,,,IRN,782480.0,11.73,,
Iraq,2017,,,IRQ,35220.0,3.37,,
Ireland,2017,,,IRL,276330.0,23.43,,
Isle of Man,2017,,,IMN,6759.0,,,
Israel,2017,,,ISR,2054.0,25.92,,
Italy,2017,,,ITA,197389.40625,29.8,,
Jamaica,2017,,,JAM,19264.0,25.41,,
Japan,2017,,,JPN,3278874.0,45.49,,
Jordan,2017,,,JOR,873.0,5.87,,
Kazakhstan,2017,,,KAZ,31157.0,4.5,,
Kenya,2017,,,KEN,129966.0,3.98,,
Kiribati,2017,,,KIR,161136.0,76.69,,
Kuwait,2017,,,KWT,3978.0,11.48,,
Kyrgyzstan,2017,,,KGZ,90.0,1.14,,
Laos,2017,,,LAO,70900.0,25.26,,
Late-demographic dividend,2017,,,,35493287.7937012,,,
Latin America & Caribbean,2017,,,,12000098.4375,,,
Latin America & Caribbean (IDA & IBRD),2017,,,,11926765.4970703,,,
Latin America & Caribbean (excluding high income),2017,,,,9143853.49707031,,,
Latvia,2017,,,LVA,118140.0,24.86,,
Least developed countries: UN classification,2017,,,,10106828.0,,,
Lebanon,2017,,,LBN,3617.0,8.73,,
Lesotho,2017,,,LSO,52.0,1.84,,
Liberia,2017,,,LBR,11974.0,5.88,,
Libya,2017,,,LBY,32000.0,,,
Liechtenstein,2017,,,LIE,0.0,,,
Lithuania,2017,,,LTU,89770.0,33.09,,
Low & middle income,2017,,,,68944889.7253418,,,
Low income,2017,,,,2900024.0,,,
Lower middle income,2017,,,,31665746.125,,,
Luxembourg,2017,,,LUX,0.0,32.15,,
Macao,2017,,,MAC,1500.0,56.33,,
Madagascar,2017,,,MDG,161606.0,5.29,,
Malawi,2017,,,MWI,211295.0,9.5,,
Malaysia,2017,,,MYS,1478783.0,57.62,,
Maldives,2017,,,MDV,142378.0,90.41,,
Mali,2017,,,MLI,106221.0,9.34,,
Malta,2017,,,MLT,2164.0,31.9,,
Marshall Islands,2017,,,MHL,70572.0,,,
Mauritania,2017,,,MRT,794580.0,9.16,,
Mauritius,2017,,,MUS,24987.0,23.07,,
Mexico,2017,,,MEX,1640382.5,14.38,,
Micronesia (country),2017,,,FSM,98931.0,,,
Middle East & North Africa,2017,,,,3508171.75,,,
Middle East & North Africa (IDA & IBRD),2017,,,,2977870.75,,,
Middle East & North Africa (excluding high income),2017,,,,2981078.75,,,
Middle income,2017,,,,66044865.7253418,,,
Moldova,2017,,,MDA,50.0,11.58,,
Monaco,2017,,,MCO,1.0,,,
Mongolia,2017,,,MNG,22.0,0.48,,
Montenegro,2017,,,MNE,1079.69995117188,14.06,,
Morocco,2017,,,MAR,1402130.75,19.47,,
Mozambique,2017,,,MOZ,413429.0,11.46,,
Myanmar,2017,,,MMR,2155440.0,47.32,,
Namibia,2017,,,NAM,512116.0,11.56,,
Nauru,2017,,,NRU,530.0,,,
Nepal,2017,,,NPL,21000.0,2.83,,
Netherlands,2017,,,NLD,500194.0,21.77,,
New Caledonia,2017,,,NCL,3673.0,23.8,,
New Zealand,2017,,,NZL,431784.40625,24.73,,
Nicaragua,2017,,,NIC,50982.0,6.51,,
Niger,2017,,,NER,25195.0,2.03,,
Nigeria,2017,,,NGA,916284.0,9.12,,
North America,2017,,,,6435193.75,,,
North Korea,2017,,,PRK,208700.0,11.4,,
North Macedonia,2017,,,MKD,87.0,6.21,,
Northern Mariana Islands,2017,,,MNP,1041.0,,,
Norway,2017,,,NOR,2545579.0,51.35,,
OECD members,2017,,,,25816221.6950073,,,
Oman,2017,,,OMN,347539.0,28.54,,
Other small states,2017,,,,2307753.69995117,,,
Pacific island small states,2017,,,,466202.0,,,
Pakistan,2017,,,PAK,536926.0,1.72,,
Palau,2017,,,PLW,812.0,,,
Palestine,2017,,,PSE,3208.0,,,
Panama,2017,,,PAN,153474.0,13.12,,
Papua New Guinea,2017,,,PNG,336292.0,,,
Paraguay,2017,,,PRY,13399.9970703125,4.17,,
Peru,2017,,,PER,4185193.0,25.04,,
Philippines,2017,,,PHL,1891570.875,28.14,,
Poland,2017,,,POL,226396.0,10.69,,
Portugal,2017,,,PRT,182615.0,56.84,,
Post-demographic dividend,2017,,,,19498462.8512573,,,
Pre-demographic dividend,2017,,,,6450870.0,,,
Puerto Rico,2017,,,PRI,1606.0,,,
Qatar,2017,,,QAT,15358.0,,,
Romania,2017,,,ROU,14998.0,5.96,,
Russia,2017,,,RUS,4884529.0,20.07,,
Rwanda,2017,,,RWA,25000.0,7.66,,
Saint Kitts and Nevis,2017,,,KNA,85457.0,36.05,,
Saint Lucia,2017,,,LCA,2091.0,34.1,,
Saint Martin (French part),2017,,,MAF,90.0,,,
Saint Vincent and the Grenadines,2017,,,VCT,32986.0,18.14,,
Samoa,2017,,,WSM,10854.0,46.32,,
San Marino,2017,,,SMR,0.0,,,
Sao Tome and Principe,2017,,,STP,10808.0,28.3,,
Saudi Arabia,2017,,,SAU,68000.0,11.33,,
Senegal,2017,,,SEN,534868.0,18.09,,
Serbia,2017,,,SRB,2209.0,6.18,,
Seychelles,2017,,,SYC,142765.0,,,
Sierra Leone,2017,,,SLE,202100.0,26.3,,
Singapore,2017,,,SGP,1260.0,,,
Sint Maarten (Dutch part),2017,,,SXM,253.0,,,
Slovakia,2017,,,SVK,1870.0,9.7,,
Slovenia,2017,,,SVN,280.070007324219,11.96,,
Small states,2017,,,,3174608.64038086,,,
Solomon Islands,2017,,,SLB,56892.0,30.14,,
Somalia,2017,,,SOM,30000.0,,,
South Africa,2017,,,ZAF,593963.0,5.97,,
South Asia,2017,,,,8565331.0,,,
South Asia (IDA & IBRD),2017,,,,8565331.0,,,
South Korea,2017,,,KOR,1363142.0,54.97,,
South Sudan,2017,,,SSD,33000.0,,,
Spain,2017,,,ESP,953791.3125,42.47,,
Sri Lanka,2017,,,LKA,507979.0,30.84,,
Sub-Saharan Africa,2017,,,,8308947.0,,,
Sub-Saharan Africa (IDA & IBRD),2017,,,,8308947.0,,,
Sub-Saharan Africa (excluding high income),2017,,,,8166182.0,,,
Sudan,2017,,,SDN,38390.0,1.03,,
Suriname,2017,,,SUR,46980.0,16.69,,
Sweden,2017,,,SWE,228726.0,32.81,,
Switzerland,2017,,,CHE,1932.0,16.94,,
Syria,2017,,,SYR,4365.0,,,
